CLIENTE;MES;NRO_VEC_COB;PDPs_ROTAS;ESTADO_PDP;NRO_CUOTAS;MES_0;MES_1;MES_2;FECHALLAMADA;HORA;DEUDA_TOTAL;ESTATUS;ACTIVACION;MORA;TIPOCONTACTO
C00204;01/02/2014;<=10;0;0;<24, 48;1197.02;1701.98;0;25/02/2014;19;14819.4;BT;1/01/2013;0;COEF
C00205;01/02/2014;<=10;>0;1;<24, 48;1271.19;0;0;24/02/2014;7;10575.4;BT;1/01/2013;0;COEF
C00206;01/02/2014;<=10;0;0;<24, 48;945.73;960.47;962.83;3/02/2014;7;19866.1;BT;1/01/2013;1;CNE
C00207;01/02/2014;<=10;>0;0;<24, 48;838.92;0;0;7/02/2014;11;8572.74;BT;1/01/2012;0;CNE
C00209;01/02/2014;<=10;0;0;<24, 48;702.11;911.18;0;5/02/2014;7;28357.1;BT;1/01/2013;1;COEF
C00210;01/02/2014;>10;>0;1;<24, 48;2531.77;0;0;4/02/2014;10;17017.9;BT;1/01/2012;0;CNE
C00212;01/02/2014;<=10;0;0;<24, 48;301.29;0;0;20/02/2014;8;13216.3;BT;1/01/2013;1;CNE
C00213;01/02/2014;>10;0;0;<24, 48;575.88;568.07;1171.46;19/02/2014;13;4472.66;BT;1/01/2011;1;CNE
C00214;01/02/2014;<=10;0;0;<24, 48;571.22;561.78;562.02;7/02/2014;11;10527.3;BT;1/01/2013;1;CNE
C00216;01/02/2014;>10;0;0;>48;513.39;508.4;0;4/02/2014;14;7013.97;BT;1/01/2011;1;CNE
C00218;01/02/2014;>10;0;0;<24, 48;136.18;204.33;0;20/02/2014;17;4683.74;BT;1/01/2012;1;CNE
C00219;01/02/2014;<=10;0;0;>48;242.7;0;145.22;11/02/2014;15;14710.2;BT;1/01/2011;1;COEF
C00220;01/02/2014;>10;0;0;>48;1951.03;0;0;21/02/2014;8;45789.5;BT;1/01/2011;1;COEF
C00222;01/02/2014;<=10;0;0;<24, 48;434.15;24.35;232.7;18/02/2014;8;9815.12;BT;1/01/2011;1;COEF
C00223;01/02/2014;>10;>0;0;<24, 48;244.7;173.22;176.96;28/02/2014;9;6770.65;BT;1/01/2011;1;COEF
C00224;01/02/2014;>10;0;0;>48;436.78;437.38;875.81;6/02/2014;13;5602.74;BT;1/01/2011;1;COEF
